,realization_spec_file_name,original_spec_file_name,FeH,err_FeH,logg,alpha,Teff,EW_Hbeta,err_EW_Hbeta_from_robo,EW_Hdelta,err_EW_Hdelta_from_robo,EW_Hgamma,err_EW_Hgamma_from_robo,EW_Heps,err_EW_Heps_from_robo,EW_CaIIK,err_EW_CaIIK_from_robo
109,spec-0342-51691-0346g001.dat_000,spec-0342-51691-0346g001.dat,,,,,,11.782003,2.6778049999999998,13.205160000000001,2.19283,10.48405,2.4329400000000003,11.687681,2.847307,1.655066,0.619311
110,spec-0342-51691-0346g002.dat_000,spec-0342-51691-0346g002.dat,,,,,,8.885588,2.5342849999999997,12.869689,2.596198,11.101508,2.527332,11.401256,2.8426150000000003,2.1760330000000003,0.954909
111,spec-0342-51691-0406g001.dat_000,spec-0342-51691-0406g001.dat,,,,,,9.935618,2.6207,8.834927,2.9906479999999998,9.575648,2.492893,9.190314,2.128743,1.934152,0.456164
112,spec-0342-51691-0406g002.dat_000,spec-0342-51691-0406g002.dat,,,,,,6.898067,2.539075,8.126303,2.539072,5.646818,8.61295,8.878544,3.1394849999999996,3.116352,1.8192380000000001
113,spec-0342-51691-0490g001.dat_000,spec-0342-51691-0490g001.dat,,,,,,4.943295,2.4217459999999997,5.337038,2.1912409999999998,4.718247,1.5161040000000001,10.164963,10.319225,2.601827,0.3683030000000001
114,spec-0346-51693-0268g001.dat_000,spec-0346-51693-0268g001.dat,,,,,,3.6567870000000013,1.5278200000000002,3.930905,1.390927,4.368214,1.387324,6.15965,4.414425,4.025951,1.4332770000000001
115,spec-0346-51693-0587g001.dat_000,spec-0346-51693-0587g001.dat,,,,,,7.762638000000001,1.7036369999999998,10.604861,2.540283,10.298413,2.5106080000000004,10.336677,2.19637,1.6759400000000002,0.540291
116,spec-0346-51693-0587g002.dat_000,spec-0346-51693-0587g002.dat,,,,,,7.370365,1.82148,10.025068,2.220587,9.586549,2.2431810000000003,9.848614999999999,1.654206,1.4561600000000001,0.33352600000000004
117,spec-0348-51671-0341g001.dat_000,spec-0348-51671-0341g001.dat,,,,,,9.290069,1.979768,9.577943,1.7538639999999999,8.24536,1.77259,8.868506,2.253503,2.15062,0.8378540000000001
118,spec-0348-51671-0341g002.dat_000,spec-0348-51671-0341g002.dat,,,,,,10.409573,2.954662,11.708523,2.414888,10.210103,2.235692,11.576984,2.2236740000000004,1.775016,0.720375
119,spec-0348-51671-0514g001.dat_000,spec-0348-51671-0514g001.dat,,,,,,6.874262,3.033664,11.049849,2.971736,6.282818,2.8674619999999997,9.861871,2.641971,3.003927,1.0760299999999998
120,spec-0348-51671-0514g002.dat_000,spec-0348-51671-0514g002.dat,,,,,,0.012343000000000002,inf,14.126095999999999,4.948466000000002,6.620935,2.561829,11.734060000000001,3.4591279999999998,10.765372,8.417758000000001
121,spec-0348-51671-0514g003.dat_000,spec-0348-51671-0514g003.dat,,,,,,6.055073999999999,2.5284880000000003,8.756967999999999,4.235036,5.6639029999999995,3.0535509999999997,9.751227,4.666587,5.806344,3.0230360000000003
122,spec-0348-51671-0536g002.dat_000,spec-0348-51671-0536g002.dat,,,,,,6.181681,1.850124,7.053125,1.76468,6.5213339999999995,1.72678,7.396677,2.2565880000000003,2.645284,0.567042
123,spec-0349-51699-0541g001.dat_000,spec-0349-51699-0541g001.dat,,,,,,8.235846,2.482243,11.558774,2.7612080000000003,9.369164,2.508705,10.638504,2.426329,1.6232959999999999,0.181226
124,spec-0349-51699-0541g002.dat_000,spec-0349-51699-0541g002.dat,,,,,,5.809379,2.4252689999999997,6.616355,2.44178,5.334119,2.142573,6.773381,5.475658,2.472477,0.32963600000000004
125,spec-0351-51695-0208g001.dat_000,spec-0351-51695-0208g001.dat,,,,,,10.034641,2.18371,10.137336,1.75413,10.007951,2.113362,10.422179,1.688459,1.894722,0.675089
126,spec-0351-51695-0208g002.dat_000,spec-0351-51695-0208g002.dat,,,,,,9.05052,2.155164,9.464324000000001,1.7422220000000002,10.00061,1.986216,8.927750999999997,1.4964540000000002,2.7310060000000003,1.0385659999999999
127,spec-0353-51703-0195g001.dat_000,spec-0353-51703-0195g001.dat,,,,,,3.471424,1.148896,4.4031150000000014,1.61277,3.633353,1.327064,3.983685,1.516485,1.7030150000000002,0.6947840000000001
128,spec-0353-51703-0195g002.dat_000,spec-0353-51703-0195g002.dat,,,,,,6.091776,2.838564,3.8641660000000004,1.985079,2.994904,1.401084,5.273558,2.275027,2.183553,1.6564720000000002
129,spec-0353-51703-0195g003.dat_000,spec-0353-51703-0195g003.dat,,,,,,8.79326,2.0486619999999998,9.135811,2.296944,7.86459,1.737828,9.202029,2.1488509999999996,0.992934,0.48551300000000003
