     HJD      MAG_3  MAG_0  MAG_1  MAG_2  MAG_4    MER_3 MER_0 MER_1 MER_2 MER_4 GRADE FRAME
   4132.58657  9.944  9.965  9.931  9.945  9.941    0.046 0.095 0.053 0.043 0.044  B 212428
   4135.55439  9.688  9.670  9.700  9.697  9.703    0.051 0.102 0.057 0.048 0.048  B 212827
   4141.54479  9.793  9.772  9.769  9.795  9.799    0.044 0.099 0.052 0.042 0.041  B 213677
   4144.53973  9.395  9.433  9.404  9.397  9.404    0.043 0.086 0.047 0.038 0.038  B 214110
   4147.53763  9.916  9.990  9.925  9.920  9.933    0.041 0.072 0.043 0.036 0.039  B 214530
   4151.53757  9.184  9.120  9.211  9.193  9.182    0.039 0.080 0.045 0.035 0.036  B 214928
   4155.51710  9.116  9.161  9.125  9.123  9.119    0.039 0.089 0.044 0.036 0.035  B 215529
   4159.51095  9.395  9.351  9.374  9.392  9.404    0.045 0.093 0.051 0.042 0.043  B 216102
   4165.50665  9.690  9.702  9.680  9.698  9.705    0.044 0.089 0.050 0.040 0.040  B 217009
   4301.91205  9.888  9.936  9.876  9.883  9.888    0.037 0.052 0.044 0.033 0.034  A 232565
   4336.86639 99.999 99.999 99.999 99.999 99.999    0.034 0.033 0.040 0.031 0.030  C 236280
   4339.84869  9.304  9.291  9.323  9.313  9.296    0.034 0.036 0.037 0.029 0.031  A 236661
   4343.85661  9.557  9.529  9.556  9.546  9.565    0.053 0.054 0.053 0.048 0.052  B 237352
   4349.83770  9.761  9.795  9.784  9.765  9.770    0.040 0.066 0.046 0.036 0.037  A 238359
   4353.80548  9.805  9.840  9.816  9.815  9.810    0.033 0.039 0.038 0.030 0.028  A 238915
   4355.86132  9.807  9.808  9.796  9.810  9.812    0.032 0.037 0.036 0.028 0.029  A 239250
   4358.82712  9.539  9.557  9.528  9.534  9.537    0.037 0.039 0.040 0.033 0.034  A 239693
   4361.84018  9.655  9.603  9.650  9.636  9.643    0.035 0.037 0.037 0.030 0.032  A 240093
   4363.80696  9.347  9.335  9.356  9.347  9.345    0.035 0.038 0.038 0.029 0.032  A 240396
   4365.80894  8.984  8.992  8.986  8.995  8.986    0.032 0.034 0.036 0.028 0.029  A 240708
   4368.78008  9.824  9.845  9.815  9.832  9.839    0.050 0.053 0.053 0.045 0.050  B 241031
   4374.80833  9.946  9.929  9.925  9.943  9.946    0.046 0.043 0.043 0.041 0.048  B 241870
   4377.75737  9.640  9.615  9.628  9.637  9.638    0.038 0.045 0.041 0.034 0.037  A 242300
   4380.74881  9.181  9.214  9.162  9.177  9.182    0.042 0.056 0.045 0.037 0.041  A 242757
   4383.74710  9.795  9.795  9.820  9.800  9.799    0.049 0.062 0.054 0.045 0.045  B 243215
   4385.79340  9.816  9.805  9.824  9.828  9.820    0.034 0.041 0.040 0.031 0.030  A 243545
   4388.72957  9.416  9.370  9.399  9.410  9.416    0.036 0.040 0.041 0.031 0.033  A 243995
   4402.69911  9.839  9.831  9.849  9.841  9.845    0.039 0.044 0.039 0.032 0.037  A 245134
   4406.69545  9.876  9.867  9.874  9.880  9.874    0.037 0.041 0.041 0.032 0.033  A 245451
   4411.68971  9.750  9.908  9.818  9.773  9.760    0.049 0.100 0.057 0.046 0.046  B 246112
   4420.68730  9.536  9.508  9.537  9.528  9.542    0.042 0.054 0.043 0.037 0.042  A 246475
   4422.72126  9.700  9.738  9.697  9.703  9.709    0.039 0.072 0.045 0.035 0.035  B 246682
   4429.66189  9.146  9.121  9.153  9.143  9.160    0.037 0.042 0.038 0.031 0.035  A 247308
   4431.70475  9.428  9.431  9.432  9.429  9.437    0.038 0.042 0.041 0.033 0.036  A 247554
   4436.76392  9.013  9.008  8.983  9.010  9.018    0.041 0.052 0.042 0.036 0.037  A 248197
   4439.61957  9.640  9.626  9.650  9.641  9.643    0.037 0.051 0.040 0.031 0.033  A 248520
   4444.71441  9.396  9.367  9.407  9.397  9.405    0.038 0.056 0.044 0.035 0.035  A 249110
   4452.64428  9.634  9.617  9.630  9.638  9.644    0.041 0.068 0.045 0.036 0.037  B 250019
   4456.58567  9.721  9.765  9.737  9.731  9.726    0.054 0.081 0.050 0.046 0.052  B 250432
   4458.68339  9.822  9.842  9.828  9.824  9.827    0.044 0.069 0.045 0.038 0.043  B 250712
   4461.63311  9.346  9.345  9.362  9.352  9.354    0.035 0.044 0.039 0.030 0.032  A 251031
   4463.68964  9.579  9.591  9.608  9.586  9.581    0.036 0.048 0.039 0.031 0.033  A 251324
   4466.63103  9.895  9.864  9.909  9.905  9.909    0.042 0.073 0.046 0.038 0.040  B 251640
   4469.61970  9.697  9.736  9.705  9.718  9.704    0.048 0.074 0.050 0.043 0.045  B 251973
   4473.62121  9.812  9.807  9.832  9.821  9.815    0.040 0.066 0.043 0.035 0.036  A 252357
   4476.61527  9.353  9.391  9.369  9.351  9.362    0.037 0.042 0.039 0.032 0.034  A 252634
   4479.59077  9.805  9.786  9.811  9.811  9.810    0.049 0.070 0.050 0.045 0.047  B 252999
